  %   cumulative   self              self     total
 time   seconds   seconds    calls  ms/call  ms/call  name
  0.00     0.91      0.00       77     0.00    20.65  Gem::Specification.each_spec
  0.00     0.91      0.00       23     0.00     0.00  Gem::Specification#licenses=
  0.00     0.91      0.00       23     0.00     0.00  Gem::Specification#executables=
  0.00     0.91      0.00       52     0.00     0.00  Gem::Specification#extra_rdoc_files=
  0.00     0.91      0.00       43     0.00     0.00  Gem::Specification#rdoc_options=
  0.00     0.91      0.00       18     0.00     0.00  Gem::Specification#required_ruby_version=
  0.00     0.91      0.00        1     0.00     0.00  Gem::Specification#test_files=
  0.00     0.91      0.00        1     0.00    40.00  Gem::Specification.each_default
  0.00     0.91      0.00        6     0.00     0.00  Module#attr_reader
  0.00     0.91      0.00       93     0.00     0.00  Module#private
  0.00     0.91      0.00       13     0.00     0.00  String#empty?
  0.00     0.91      0.00       79     0.00     0.00  File.expand_path
  0.00     0.91      0.00        1     0.00     0.00  Gem.find_home
  0.00     0.91      0.00        3     0.00     0.00  Gem.user_home
  0.00     0.91      0.00        1     0.00     0.00  File.exist?
  0.00     0.91      0.00        2     0.00     0.00  Gem.ruby_engine
  0.00     0.91      0.00        1     0.00     0.00  Gem.user_dir
  0.00     0.91      0.00        1     0.00     0.00  Gem.default_path
  0.00     0.91      0.00        1     0.00     0.00  Array#+
  0.00     0.91      0.00        1     0.00     0.00  Gem::PathSupport#path=
  0.00     0.91      0.00        1     0.00     0.00  Gem::PathSupport#initialize
  0.00     0.91      0.00        2     0.00     0.00  Gem.paths
  0.00     0.91      0.00        1     0.00     0.00  Gem.path
  0.00     0.91      0.00        3     0.00     0.00  Gem::Specification.dirs
  0.00     0.91      0.00        1     0.00     0.00  Array#collect
  0.00     0.91      0.00      155     0.00     0.00  String#scan
  0.00     0.91      0.00      966     0.00     0.01  Gem::Version#segments
  0.00     0.91      0.00       23     0.00     0.00  Hash#delete
  0.00     0.91      0.00        1     0.00     0.00  Gem::Specification#files
  0.00     0.91      0.00      254     0.00     0.00  Array#pop
  0.00     0.91      0.00      257     0.00     0.00  Array#first
  0.00     0.91      0.00      292     0.00     0.00  Gem::Specification#dependencies
  0.00     0.91      0.00        1     0.00     0.00  Array#compact
  0.00     0.91      0.00      211     0.00     0.47  Gem::Specification#add_development_dependency
  0.00     0.91      0.00       41     0.00     1.22  Gem::Specification#add_runtime_dependency
  0.00     0.91      0.00        1     0.00     0.00  Gem::Specification#requirements=
  0.00     0.91      0.00        1     0.00   490.00  Gem::Specification.each_normal
  0.00     0.91      0.00       25     0.00     0.00  Hash#values
  0.00     0.91      0.00        1     0.00     0.00  Hash#each_value
  0.00     0.91      0.00      461     0.00     0.00  String#<=>
  0.00     0.91      0.00      423     0.00     0.00  Fixnum#zero?
  0.00     0.91      0.00      423     0.00     0.00  Numeric#nonzero?
  0.00     0.91      0.00       42     0.00     0.48  Gem::Specification._resort!
  0.00     0.91      0.00        1     0.00     0.00  Array#sort!
  0.00     0.91      0.00     1587     0.00     0.00  String#===
  0.00     0.91      0.00        2     0.00     0.00  Array#uniq
  0.00     0.91      0.00        1     0.00     0.00  Gem::Specification#add_bindir
  0.00     0.91      0.00       63     0.00     0.00  Gem::Dependency#requirement
  0.00     0.91      0.00      285     0.00     0.00  Kernel#Array
  0.00     0.91      0.00      118     0.00     0.17  Proc#call
  0.00     0.91      0.00      179     0.00     0.28  Gem::Requirement#satisfied_by?
  0.00     0.91      0.00       61     0.00     0.49  Enumerable#all?
  0.00     0.91      0.00       39     0.00     2.05  Enumerable#find_all
  0.00     0.91      0.00        4     0.00     0.00  Proc#yield
  0.00     0.91      0.00        3     0.00     0.00  Array#shift
  0.00     0.91      0.00        4     0.00     0.00  Regexp#===
  0.00     0.91      0.00        1     0.00     0.00  Gem::Platform#initialize
  0.00     0.91      0.00        1     0.00     0.00  Gem::Platform.new
  0.00     0.91      0.00        1     0.00     0.00  Gem::Platform.local
  0.00     0.91      0.00       61     0.00     0.00  Gem.platforms
  0.00     0.91      0.00      122     0.00     0.00  Gem::Platform.match
  0.00     0.91      0.00      350     0.00     0.11  Enumerable#any?
  0.00     0.91      0.00       62     0.00     0.00  BasicObject#!
  0.00     0.91      0.00       22     0.00     0.00  Array#reject!
  0.00     0.91      0.00       61     0.00     0.00  Gem::Specification#sort_obj
  0.00     0.91      0.00       39     0.00     0.00  Array#<=>
  0.00     0.91      0.00       24     0.00     0.00  Enumerable#sort_by
  0.00     0.91      0.00       26     0.00     0.00  Array#empty?
  0.00     0.91      0.00       22     0.00     3.64  Gem::Dependency#to_specs
  0.00     0.91      0.00        3     0.00     0.00  Gem::Dependency#to_spec
  0.00     0.91      0.00       14     0.00     2.86  Enumerable#find
  0.00     0.91      0.00       18     0.00     0.00  Gem::Specification#conflicts
  0.00     0.91      0.00        5     0.00     0.00  Gem::Specification#raise_if_conflicts
  0.00     0.91      0.00       56     0.00     0.00  Gem::Dependency#type
  0.00     0.91      0.00      139     0.00     0.00  Kernel#nil?
  0.00     0.91      0.00        1     0.00     0.00  TracePoint#enable
  0.00     0.91      0.00       87     0.00     0.00  Gem.find_unresolved_default_spec
  0.00     0.91      0.00      229     0.00     0.00  File.dirname
  0.00     0.91      0.00       77     0.00     0.00  Gem::Specification#default_gem?
  0.00     0.91      0.00       72     0.00     0.00  Gem::Specification#base_dir
  0.00     0.91      0.00       77     0.00     0.00  Gem::Specification#gems_dir
